epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,649.132,1.32961,2.3245,1.31536,0.68163,0.66182,0.71749,0.42987,1.31377,1.65123,1.36249,0.000236549,0.000236549,0.000236549
2,1342.86,1.22673,1.32548,1.27662,0.69589,0.72194,0.72925,0.43456,1.24174,1.5999,1.42261,0.000468676,0.000468676,0.000468676
3,2028.32,1.17458,1.16614,1.25775,0.81343,0.71592,0.878,0.52855,1.23914,1.06589,1.45013,0.000694913,0.000694913,0.000694913
4,2767.6,1.16663,1.06405,1.2887,0.87415,0.84888,0.91175,0.60666,1.14396,0.93447,1.3419,0.000687493,0.000687493,0.000687493
5,528.995,1.1189,1.01336,1.24915,0.79138,0.80071,0.86039,0.55921,1.08821,0.97676,1.30749,0.000678657,0.000678657,0.000678657
5,726.544,1.1189,1.01336,1.24915,0.79138,0.80071,0.86039,0.55921,1.08821,0.97676,1.30749,0.000678657,0.000678657,0.000678657
6,1315.88,1.09048,0.92356,1.23413,0.79527,0.83671,0.88315,0.57644,1.10257,0.91757,1.32886,0.000669821,0.000669821,0.000669821
7,1624.52,1.03715,0.81855,1.20371,0.8795,0.90983,0.93076,0.60239,1.13368,0.82554,1.36928,0.000660986,0.000660986,0.000660986
8,1926.89,1.03005,0.79595,1.20262,0.85199,0.8668,0.9172,0.6069,1.15217,0.80663,1.35231,0.00065215,0.00065215,0.00065215
9,2580.4,1.05374,0.80785,1.23226,0.87617,0.9295,0.9364,0.63418,1.05942,0.74561,1.32099,0.000643314,0.000643314,0.000643314
10,2869.57,1.03331,0.80539,1.21706,0.91886,0.90174,0.95055,0.64118,1.06397,0.71511,1.32678,0.000634478,0.000634478,0.000634478
11,3164.94,1.02415,0.73899,1.20592,0.9009,0.89519,0.94478,0.62305,1.04534,0.69759,1.30442,0.000625642,0.000625642,0.000625642
12,3467.27,1.01474,0.72808,1.19557,0.88371,0.90873,0.96212,0.6523,1.03724,0.67062,1.28034,0.000616807,0.000616807,0.000616807
13,3858.76,0.99851,0.69817,1.19088,0.91926,0.92037,0.95159,0.64568,1.05147,0.66034,1.29578,0.000607971,0.000607971,0.000607971
14,4156.07,0.98708,0.67178,1.18419,0.91604,0.94259,0.93933,0.64557,1.03645,0.64074,1.28147,0.000599135,0.000599135,0.000599135
15,4489.86,0.98638,0.67006,1.17716,0.88367,0.95461,0.96233,0.66792,0.99358,0.60388,1.27786,0.0005903,0.0005903,0.0005903
16,4819.39,0.96376,0.65621,1.16127,0.90479,0.94176,0.96052,0.67523,1.0304,0.60199,1.29902,0.000581464,0.000581464,0.000581464
17,5147.99,0.96785,0.66613,1.16856,0.91896,0.95652,0.96339,0.65496,1.02258,0.60407,1.29974,0.000572628,0.000572628,0.000572628
18,5473.12,0.97011,0.6422,1.18079,0.936,0.94663,0.966,0.67767,0.97999,0.60927,1.27917,0.000563792,0.000563792,0.000563792
19,5806.45,0.9566,0.62096,1.16345,0.92589,0.9525,0.96795,0.67607,0.99332,0.56844,1.27649,0.000554956,0.000554956,0.000554956
20,6140.51,0.92508,0.62422,1.15461,0.92125,0.91229,0.95931,0.67048,0.98098,0.60571,1.26006,0.000546121,0.000546121,0.000546121
21,6469.63,0.91692,0.62304,1.13924,0.92638,0.95874,0.96644,0.6738,0.97743,0.56144,1.25638,0.000537285,0.000537285,0.000537285
22,6779.64,0.91776,0.60779,1.12922,0.94284,0.91904,0.9633,0.68282,0.9833,0.56022,1.26483,0.000528449,0.000528449,0.000528449
23,7480.97,0.92954,0.60207,1.15352,0.94072,0.91977,0.96695,0.67644,0.99711,0.57922,1.25638,0.000519613,0.000519613,0.000519613
24,7754.45,0.92445,0.59883,1.14884,0.91665,0.9645,0.96388,0.67871,0.95873,0.55319,1.24146,0.000510778,0.000510778,0.000510778
25,8070.04,0.90589,0.5812,1.1361,0.92376,0.93486,0.96492,0.67229,1.00055,0.55862,1.28112,0.000501942,0.000501942,0.000501942
26,8398.39,0.91012,0.57632,1.13827,0.93456,0.93031,0.96312,0.67629,0.97023,0.55652,1.24895,0.000493106,0.000493106,0.000493106
27,9207.69,0.89432,0.56745,1.12152,0.91733,0.93009,0.96721,0.68657,0.96382,0.5553,1.24806,0.000484271,0.000484271,0.000484271
28,9494.72,0.88492,0.55922,1.11084,0.89027,0.96888,0.96608,0.686,0.95771,0.54886,1.24513,0.000475435,0.000475435,0.000475435
29,9817.49,0.88087,0.54681,1.1168,0.95987,0.92371,0.9694,0.68329,0.94914,0.53659,1.22864,0.000466599,0.000466599,0.000466599
30,10146.7,0.87883,0.54399,1.11618,0.95082,0.94474,0.97014,0.69936,0.93462,0.51071,1.23441,0.000457763,0.000457763,0.000457763
31,10473.3,0.87621,0.54208,1.10519,0.92318,0.95424,0.96808,0.67464,0.97196,0.52765,1.25957,0.000448928,0.000448928,0.000448928
32,10796.1,0.86395,0.5472,1.10284,0.93227,0.9434,0.96295,0.67752,0.97461,0.52521,1.25868,0.000440092,0.000440092,0.000440092
33,11130.6,0.8691,0.53326,1.10134,0.93909,0.94079,0.96565,0.68915,0.94605,0.53645,1.22733,0.000431256,0.000431256,0.000431256
34,11454.3,0.85429,0.53129,1.09559,0.95105,0.94177,0.9657,0.67989,0.96211,0.52062,1.23905,0.00042242,0.00042242,0.00042242
35,11779.9,0.85966,0.51633,1.09366,0.94218,0.95442,0.97199,0.68592,0.97158,0.5105,1.26168,0.000413584,0.000413584,0.000413584
36,12098.8,0.83712,0.49965,1.08461,0.93391,0.93157,0.96281,0.68372,0.97956,0.53438,1.26942,0.000404749,0.000404749,0.000404749
37,12419.7,0.84437,0.51277,1.08758,0.90619,0.94066,0.95503,0.67892,0.96133,0.53704,1.2447,0.000395913,0.000395913,0.000395913
38,12742.5,0.82881,0.51322,1.0896,0.92585,0.96365,0.97207,0.69903,0.94418,0.49656,1.23967,0.000387077,0.000387077,0.000387077
39,13059.1,0.82485,0.5091,1.0786,0.92259,0.9423,0.9663,0.69577,0.95856,0.50444,1.25471,0.000378242,0.000378242,0.000378242
40,13367.1,0.82052,0.50029,1.06861,0.92432,0.95498,0.97115,0.6856,0.96291,0.50959,1.24521,0.000369406,0.000369406,0.000369406
41,13679,0.81831,0.50968,1.07613,0.93363,0.96329,0.96983,0.68886,0.96683,0.49878,1.25162,0.00036057,0.00036057,0.00036057
42,14001.5,0.81502,0.48832,1.07866,0.92988,0.95176,0.97033,0.69984,0.94704,0.49723,1.24207,0.000351734,0.000351734,0.000351734
