epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.473,1.71079,3.89985,1.49579,0.69181,0.4491,0.53735,0.264,1.65611,2.73056,1.35948,0.000141929,0.000141929,0.000141929
2,623.297,1.50182,2.40246,1.33151,0.68595,0.70991,0.71667,0.33818,1.73505,2.05604,1.38764,0.000275333,0.000275333,0.000275333
3,993.692,1.44484,1.96772,1.31543,0.74272,0.64495,0.75071,0.41579,1.39233,1.9615,1.23071,0.000399312,0.000399312,0.000399312
4,1451.76,1.37715,1.78285,1.27452,0.86623,0.78793,0.87569,0.48448,1.34638,1.45922,1.19034,0.000513867,0.000513867,0.000513867
5,1771.21,1.34145,1.5809,1.25667,0.86201,0.70688,0.83849,0.50897,1.28311,1.64598,1.16916,0.000618996,0.000618996,0.000618996
6,2101.59,1.31691,1.43066,1.22983,0.8675,0.87191,0.91309,0.52782,1.33876,1.18853,1.17583,0.00059619,0.00059619,0.00059619
7,2434.4,1.25398,1.30303,1.21567,0.79247,0.87011,0.90012,0.55663,1.22128,1.12259,1.13238,0.000572628,0.000572628,0.000572628
8,2813.44,1.23185,1.18042,1.18829,0.8735,0.89531,0.93933,0.56241,1.31737,1.01643,1.16979,0.000549066,0.000549066,0.000549066
9,9997.46,1.20897,1.07905,1.18212,0.88647,0.91317,0.93507,0.59127,1.19506,0.95373,1.12258,0.000525504,0.000525504,0.000525504
10,10263.1,1.19525,1.05808,1.17391,0.90169,0.92828,0.93989,0.6102,1.14674,0.8679,1.10373,0.000501942,0.000501942,0.000501942
11,10577.7,1.15169,0.97222,1.14685,0.90787,0.9371,0.95007,0.59384,1.16765,0.8266,1.09835,0.00047838,0.00047838,0.00047838
12,10917.4,1.14032,0.92625,1.13964,0.89209,0.9355,0.9498,0.59526,1.17545,0.8055,1.10845,0.000454818,0.000454818,0.000454818
13,11292.4,1.10639,0.90698,1.12904,0.9283,0.92625,0.95679,0.61172,1.15744,0.80667,1.09845,0.000431256,0.000431256,0.000431256
14,11688,1.09956,0.85222,1.11307,0.93791,0.90961,0.96111,0.59994,1.23241,0.79343,1.10685,0.000407694,0.000407694,0.000407694
15,12090.5,1.09217,0.84399,1.1183,0.91941,0.93,0.96441,0.63817,1.12635,0.71942,1.08152,0.000384132,0.000384132,0.000384132
16,12476.9,1.05975,0.81406,1.09306,0.89512,0.94998,0.94956,0.62138,1.12525,0.71023,1.07394,0.00036057,0.00036057,0.00036057
17,12847.5,1.04506,0.77014,1.08941,0.92577,0.92491,0.96177,0.63775,1.08423,0.68088,1.05524,0.000337008,0.000337008,0.000337008
18,13204.6,1.03787,0.74586,1.07349,0.96102,0.90597,0.96791,0.63018,1.08547,0.67017,1.06332,0.000313446,0.000313446,0.000313446
19,13556,1.01717,0.73301,1.0793,0.94004,0.92031,0.96727,0.6488,1.05999,0.64823,1.05582,0.000289884,0.000289884,0.000289884
20,13904.1,1.02769,0.73738,1.08322,0.92853,0.92156,0.95824,0.65818,1.01597,0.64028,1.0399,0.000266322,0.000266322,0.000266322
21,14245.2,0.93384,0.62827,1.0349,0.91386,0.94219,0.96407,0.65824,1.05727,0.64222,1.04858,0.00024276,0.00024276,0.00024276
22,14580.7,0.9242,0.60073,1.02991,0.93345,0.92668,0.96751,0.64958,1.04811,0.62295,1.0566,0.000219198,0.000219198,0.000219198
23,14913.2,0.90372,0.58662,1.02875,0.91358,0.94322,0.95601,0.64821,1.06097,0.61042,1.05831,0.000195636,0.000195636,0.000195636
24,15236.7,0.90016,0.56954,1.01567,0.93459,0.94238,0.96638,0.66862,1.00702,0.60022,1.03517,0.000172074,0.000172074,0.000172074
25,15560.6,0.87472,0.56688,1.01033,0.91515,0.9408,0.95981,0.6622,1.01405,0.59278,1.04057,0.000148512,0.000148512,0.000148512
26,15888.8,0.86575,0.55314,1.00271,0.91956,0.92625,0.95411,0.66477,0.9858,0.57856,1.03671,0.00012495,0.00012495,0.00012495
27,16214.3,0.85861,0.53479,1.00704,0.93518,0.92594,0.96599,0.67493,0.97343,0.57569,1.03213,0.000101388,0.000101388,0.000101388
28,16539.4,0.83725,0.52933,0.98871,0.94611,0.90587,0.96311,0.677,0.96301,0.57029,1.02423,7.7826e-05,7.7826e-05,7.7826e-05
29,16866,0.83046,0.51979,0.98897,0.91504,0.94335,0.96172,0.68349,0.95423,0.55979,1.01974,5.4264e-05,5.4264e-05,5.4264e-05
30,17188.3,0.82768,0.51669,0.98931,0.9055,0.95072,0.9601,0.68507,0.94193,0.55792,1.01833,3.0702e-05,3.0702e-05,3.0702e-05
